id,name,url
dbgap:phs002945.v1.p1, A Data Science Approach to Identify and Manage Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With SARS-CoV-2 Infection and Kawasaki Disease in Pediatric Patients,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002945.v1.p1
dbgap:phs002563.v1.p1, A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002563.v1.p1
dbgap:phs002574.v1.p1, A Multimodal Platform for Oral Screening of COVID,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002574.v1.p1
dbgap:phs002570.v1.p1, A Multimodal Platform for Oral Screening of COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002570.v1.p1
dbgap:phs002689.v1.p1, A Rapid Saliva Antigen Test for SARs-CoV-2 Detection,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002689.v1.p1
dbgap:phs002561.v1.p1," A Rapid, Sensitive, Point-of- care, Antigen-based Diagnostics for SARS-CoV-2",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002561.v1.p1
dbgap:phs002572.v1.p1, A SARS-CoV-2 Breathalyzer for Direct Virus Detection,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002572.v1.p1
dbgap:phs002544.v1.p1, AFS/SERS Saliva-based SARS-CoV-2 Earliest Infection and Antibodies Detection,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002544.v1.p1
dbgap:phs002585.v1.p1, AICORE-kids,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002585.v1.p1
dbgap:phs002527.v1.p1, Bioinformatics Framework for Wastewater-based Surveillance of Infectious Diseases,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002527.v1.p1
dbgap:phs002924.v1.p1, Broad-spectrum Detection of VOC and Non-VOC Biomarkers from Patient Exhalant Using Biomimetic Multiplexed eNose Biosensor for COVID 19 Diagnosis,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002924.v1.p1
dbgap:phs002747.v1.p1, COVID-19 Detection through Scent Analysis with a Compact GC Device,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002747.v1.p1
dbgap:phs002569.v1.p1, COVID-19 Network of Networks Expanding Clinical and Translational approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002569.v1.p1
dbgap:phs002553.v1.p1, Characterization of Multisystem Inflammatory Syndrome in Children and its Relationship to Kawasaki Disease,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002553.v1.p1
dbgap:phs002573.v1.p1, Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002573.v1.p1
dbgap:phs002546.v1.p1, Development of an Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable Areas,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002546.v1.p1
dbgap:phs002550.v1.p1, Direct Bioelectronic Detection of SARS-Cov-2 From Saliva Using Singlemolecule Field-effect Transistor Array,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002550.v1.p1
dbgap:phs002781.v1.p1, Discovery and Clinical Validation of Host Biomarkers of Disease Severity and Multi-system Inflammatory Syndrome in Children (MIS-C) and COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002781.v1.p1
dbgap:phs002657.v1.p1," Early Detection, Containment, and Management of COVID-19 in Dialysis Facilities Using Multi-Modal Data Sources",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002657.v1.p1
dbgap:phs002588.v1.p1," Effective, Reagent-free Detection of the Odor Signature of Covid-19 Infection Using a Nano-Enabled Sensor Array",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002588.v1.p1
dbgap:phs002609.v1.p1, Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002609.v1.p1
dbgap:phs002522.v1.p1, MOF-SCENT: Metal-organic Frameworks for Screening COVID-19 by Electronic-Nose Technology to Improve Selectivity and Time Response,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002522.v1.p1
dbgap:phs002551.v1.p1, Marshallese: Alternate Surveillance for COVID-19 in a Unique Population,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002551.v1.p1
dbgap:phs002543.v1.p1, Minimal False-Alarm Touch-Based Detection of SARS-CoV-2 Virus Particles Using Poly-aptamers,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002543.v1.p1
dbgap:phs002523.v1.p1, Multi-Modal Wireless COVID Monitoring & Infection Alerts for Concentrated Populations,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002523.v1.p1
dbgap:phs002709.v1.p1, Multiparametric Integrated Molecular Detection of SARS-CoV-2 from Biofluids by Adapting Single Extracellular Vesicle Characterization Technologies,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002709.v1.p1
dbgap:phs002700.v1.p1, Nanobody-based Electrochemical Biosensor for Real-Time Detection of Aerosolized SARS-CoV2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002700.v1.p1
dbgap:phs002600.v1.p1, Portable GC Detector for COVID Diagnostics,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002600.v1.p1
dbgap:phs002631.v1.p1, Rapid Olfactory Tools for Telemedicine-friendly COVID-19 Screening and Surveillance,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002631.v1.p1
dbgap:phs002699.v1.p1, SCENTinel: A Rapid Smell Test for COVID-19 Surveillance,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002699.v1.p1
dbgap:phs002525.v1.p1, SF-RAD: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002525.v1.p1
dbgap:phs002549.v1.p1, Severity Predictors Using Immunology and Transcriptomics in Saliva Using Multi Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS MISC),https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002549.v1.p1
dbgap:phs002565.v1.p1," Touchscreen-compatible, real-time electrochemical sensing of SARS-CoV-2",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002565.v1.p1
dbgap:phs002524.v1.p1, Validation of Smart Masks for Surveillance of COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002524.v1.p1
dbgap:phs002602.v1.p1, Virus Counter: Rapid and Sensitive Diagnostics Based on Digital Detection of Individual Pathogens,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002602.v1.p1
dbgap:PENDING TRIBAL DATA TRANSFER AND USE AGREEMENT RECEIPT, Wastewater Analysis of SARS-CoV-2 in Tribal Communit,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=PENDING TRIBAL DATA TRANSFER AND USE AGREEMENT RECEIPT
dbgap:phs002542.v1.p1, Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002542.v1.p1
dbgap:phs002679.v1.p1, Wastewater Detection of COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002679.v1.p1
