id,name,abstract,narrative,fundingMechanism,awardCode,researchInitiative,subProject
U01DC019579,Longitudinal At Home Smell Testing to Detect Infection by SARS-CoV-2,"Self-report of sudden loss of smell or taste substantially increases the odds of being infected with SARS-CoV-2
(10 – 37-fold). However, self-report of smell function is an unreliable predictor of smell loss. Based on our
experience developing smell tests with personalized algorithms for asymptomatic detection of Alzheimer's
disease, we created a self-administered easy to use “at home” 5-minute objective smell test to uncover
alterations in smell function unbeknownst to many individuals, and confer increased risk of infection by SARS-
CoV-2. Our new smell test consists of a physical smell card containing peel and sniff odor labels and a web-
based application. The disposable smell card reduces the risk that the smell test serves as a vector of
transmission to other patients, research staff, and to health care workers. Each participant accesses the web-
based app on their own smartphone, tablet, or computer. In our pilot studies, we validated each participant's
COVID status by extracting results of clinical SARS-CoV-2 RT PCR assays from electronic health records. The
smell test provides better area under the curve for SARS-CoV-2 infection (0.83 – 0.85) in both US and
Argentinian symptomatic patients (ages 19 - 87) than symptom tracking alone (0.66). We are expanding the
smell test from one smell card with three odors to 6 smell cards, each with 3 different odors (18 odors total).
Having six different versions of the smell card will afford longitudinal screening several times per week and
provide data to construct personalized thresholds for changes in olfactory function - each person serving as
their own control and monitoring for diminishment of their expected performance based on their personal
trajectory rather than being based on population norms. Here we propose to develop a native app to conduct
longitudinal COVID Smell Test (Aim 1), collect data on asymptomatic health care workers, symptomatic
patients, and undergraduates (Aim 2) and develop algorithms for the longitudinal smell test for personalized
thresholds, differentiate smell loss from COVID relative to influenza, and assess risk of developing pulmonary
disease in COVID infected patients (Aim 3). The Longitudinal COVID Smell Test is accessible, affordable, and
readily scalable. Effective screening with the COVID smell test will better inform students and employees if
they should not report to school or work, and seek an evaluation by a healthcare professional and molecular
testing at an early, often asymptomatic, stage of the disease.","Disturbances of smell and taste is the predominant symptom of infection by the SARS-CoV-2 virus, which is
the cause of the COVID-19 pandemic.. To identifying individuals at risk for SARS-CoV-2, we have developed a
novel technology to assess smell function at home using disposable smell cards. Here we propose to detect
signs of olfactory dysfunction in asymptomatic and symptomatic individuals with instantaneous return of a risk
score based on algorithms derived from validated COVID patients, leading to earlier self-quarantine and
evaluation by a healthcare professional.",Non-SBIR/STTR,U01,RADx-rad,Chemosensory Testing
ZIAES103366,SARS-CoV-2 Diagnostic/Prognostic Sequencing Method,"COVID-19 Diagnostics. Our proposed screening approach, if adopted by CLIA-compliant testing facilities with robotics, next generation sequencing and bioinformatics capability, would meet one important need among testing alternatives. It would provide the capability for testing tens of thousands of patient samples in a large bolus. It could allow accurate and fast-turnaround SARS-CoV-2 testing capacity at population scale, permitting massive scale monitoring of at-risk individuals with minimal processing delay. This method exploits the indexing of poly-adenylated RNA from both virus and host cells and allows the possibility of extracting many metrics at once (more flags = easier to detect) with the same upstream processing routine. This added information will be useful for interpreting variation in response to viral exposure for both positive and negative tests. Looking ahead, the technical improvements embodied by a successful NGS-based viral gRNA screening platform could reveal new means to establish strategic preparedness roadmaps for future pandemics. It would be a model for how new infectious disease screening platforms might be rapidly jump-started and developed.
We are working to develop a method to analyze  nasopharyngeal, oropharyngeal, saliva, and/or blood samples from COVID-19 patients collected very early in the COVID-19 disease course (e.g. at diagnosis of infection) and prospectively determine or predict  COVID-19 disease severity (e.g. asymptomatic, mild, severe, long COVID, etc).  The method seeks to both quantify the viral content in the biological sample and to also obtain an informative gene expression profile from patient cells.  These profiles will be compared with patient symptoms and clinical data using machine learning to identify biomarkers that are prognostic for COVID-19 disease severity.",,Intramural Research,ZIA,RADx-rad,Diagnostic-Prognostic RNAseq
R61HD105591,A data science approach to identify and manage Multisystem Inflammatory Syndrome in Children (MIS-C) associated with SARS-CoV-2 infection and Kawasaki disease in pediatric patients,"Since the SARS-CoV-2 pandemic began, the emergence of an associated novel multisystem
inflammatory syndrome in children (MIS-C) has been reported. Interestingly, patients with MIS-C follow a
presentation, management and clinical course that are somewhat similar to that of patients with Kawasaki
disease (KD). Currently, the reason for such an overlap in clinical features and management is unclear and
whether this overlap is the result of a partially shared etiology or pathophysiology is the subject of fierce
debates. The degree of overlap implies that some of the clinical prediction tools that we have developed in the
past for KD could be repurposed to accelerate the development of clinical support decision tools for MIS-C. In
this study, we will first (R61 component) systematically address the overlap between KD and MIS-C and create
salient machine-learning based prediction models for diagnosis/identification (Aim #1), management (Aim #2),
and short- and long-term outcomes (Aim #3) of MIS-C based on our previously developed predictive models for
KD in a process akin to transfer learning. Secondly (R33 component), we will validate and evaluate the
performance and clinical utility of these models in a predictive clinical decision support system for the diagnosis
and management of pediatric patients presenting with features indicative of either MIS-C or KD. In this study we
will include 3 groups of patients: 1) patients with SARS-CoV-2 infection with MIS-C (CDC criteria) regardless of
whether they have overlapping signs of KD, 2) patients with SARS-CoV-2 infection investigated for but
eventually not diagnosed with MIS-C, and 3) patients with KD but without SARS-CoV-2 infection. Targeted data
will be collected from enrolled patients (900 for training and 450 for validation) for deep phenotyping and
biomarker measurements. Physician feedback on the predictions generated by the algorithm will be used to
establish clinical utility. Data required for model training will be accrued in the first two years of activity (R61
period of the grant); the development of algorithms and their internal validation will occur concurrently. In the
following 2 years (R33 period of the grant), we will perform external validation, establish clinical utility, add real-
time epidemiological surveillance data to the models and finally package, and certify the algorithms for future
deployment and for the integration in electronic health records. This project will be a collaboration with the
International Kawasaki Disease Registry (IKDR) Consortium. The IKDR Consortium has an active KD and
pediatric COVID registry in 35 sites across the world and the number of sites is currently expanding to 60+ sites.
More than 600 MIS-C patients have already been identified at IKDR centers, making this project clearly feasible
and perfectly positioning IKDR to perform this study. We strongly believe that the use of emerging data science
methods and of our previously developed algorithms in the context of KD, as opposed to focusing on MIS-C
patients alone, will boost our understanding of the etiology and pathophysiology of both MIS-C and KD and will
more rapidly lead to the emergence of data-driven management protocols for patients with MIS-C.","The primary objective of this study is to design and validate a predictive decision support
system for the identification, treatment and management of SARS-CoV-2 associated with multisystem
inflammatory syndrome in children (MIS-C). To develop this system, we will adapt and retrain machine learning
algorithms which we have previously trained in patients with Kawasaki Disease, a pediatric inflammatory
vasculopathy with multiple similarities to MIS-C. This study, performed in collaboration with the International
Kawasaki Disease Registry (IKDR) consortium, will consist of two phases, first a large-scale data collection
and algorithm development effort and second, the prospective evaluation of the performance and clinical utility
of the algorithm ahead of large-scale deployment.",Non-SBIR/STTR,R61,RADx-rad,PreVAIL kIds
U18TR003787,A Handheld Microchip for GC analysis of breath to screen for COVID-19,"The COVID-19 pandemic has caused unprecedented societal suffering and economic disruption. In the
United States, more than six million people have contracted COVID-19 and more than one hundred ninety
thousand patients have died of this disease to date. Although current COVID-19 diagnostic testing technologies
are critical for slowing the spread of the virus and preventing future outbreaks, they are not practical for field use.
Current diagnostic tests are cumbersome to perform because they use aqueous solutions, require multiple steps,
and hours-to-days to obtain results. Since the US began to reopen the economy in May, there has been a
significant increase in the number of COVID-19 cases. Therefore, there is an urgent need to develop a diagnostic
approach that is non-invasive, portable, and can rapidly provide test results.
 The overall goal of the project is to develop a mobile breath analysis technology for rapid screening for
COVID-19 using a handheld breath collection tool and a portable GC with a photoionization detector (PID). The
handheld tool will be a closed system for trapping select volatile organic compounds (VOCs) on a microfabricated
chip. The captured VOCs will be eluted with ethanol and then analyzed using a commercially available, portable
GC-PID instrument. Artificial intelligence (AI) and machine learning algorithms will be applied to recognize the
VOC pattern that correlates with COVID-19 infection. The central innovation is the microfabricated chip that
captures carbonyl compounds in exhaled breath and thus serves as a preconcentrator, which enables analysis
of carbonyl VOCs by the portable GC-PID. The hypothesis is that the carbonyl metabolome in exhaled breath is
directly related to the body’s reaction to the novel coronavirus infection, and changes in the carbonyl VOC
composition in exhaled breath relative to healthy controls can be used to detect both symptomatic and
asymptomatic COVID-19 patients.
 Three specific aims are proposed to fulfill the overall goal. Aim 1 is to build a disposable handheld breath
analyzer tool for concentrating carbonyl VOCs. Aim 2 is to identify VOC patterns in the breath of COVID-19
patients by machine learning algorithms. Aim 3 is to integrate portable GC technology with the breath sampling
tool for COVID-19 screening guided by an AI system. The University of Louisville is uniquely suited to rapidly
transition the microchip technology to field use because of the PI and Co-PI’s experience in breath analysis and
translational research, and the project team’s experience in virology, infectious diseases, biostatistics, and
artificial intelligence as well as the state-of-the-art facilities that include a MicroNano Technology Center,
Biosafety Level 3 Regional Biocontainment Lab, and an NIH-funded REACH program.","8. Project Narrative
 This project will develop a mobile breath analysis technology for rapid screening for COVID-19 using a
handheld breath collection tool and a portable GC with a photoionization detector (PID). Artificial intelligence and
machine learning algorithms will be used to analyze the detected signals of volatile organic compounds (VOCs)
in exhaled breath by the portable GC for detection of COVID-19 patients. UofL is uniquely suited to develop this
approach because of the PI’s expertise in breath analysis for detection of Tuberculosis and lung cancer and the
team’s experience in virology, infectious diseases, biostatistics, and artificial intelligence.",Other Research-Related,U18,RADx-rad,SCENT
R42DE030829,A multimodal platform for Oral screening of COVID-19,"The development of a rapid and reliable sensor system from readily available oral specimens is crucial for
the screening and management of SARS-CoV-2 infection. Other than tests that require laboratory-scale
instrumentation, the development of rapid tests can play a timely role in the management of an outbreak.
Current rapid tests often involve the antibodies in a lateral flow format to detect viral protein components
and, depending on the implementation, can result in a relatively high degree of error. In partnership with
MIT, InnoTech proposes the development of a multiplexed sensor platform based on nanomaterials capable
of molecular binding and subsequent reporting. We will develop and commercialize a multiplexed sensor
platform using nanomaterial reporters capable of rapid simultaneous detection of multiple components of
viral particles in a field applicable electrochemical device. For our Phase I- Aim 1 we will focus on the
development and optimization of synthetic biosensors for accurate detection of SARS-CoV-2 viral proteins
and nucleic acid. Our milestone is the discovery and validation an array of molecular recognition biosensors
against both protein and nucleic acid segments of SARS-CoV-2. We will complete this phase in 4 months.
In Phase II-Aim 1, we will develop and validate the electrochemical detectors. We will utilize the synthetic
biosensors identified and validated in Aim 1 to an electrochemical platform for the rapid detection of an
active SARS-CoV-2 infection using multiple biomarkers of the infection. We will specifically employ
commercially-available, disposable electrode platforms and existing potentiostats from Metrohm DropSens
to streamline scale-up and commercialization. Our milestone, to be completed in year 1 of Phase II, is to
have a multiplex biosensor chip and an alpha prototype with a multiplex biosensor chip and a potentiostat
reader which we will benchmark for sensitivity and quantitative accuracy against existing COVID-19
diagnostics. In Phase II-Aim 2, we will validate the prototype chips and detectors with retrospective clinical
specimens in preparation for EUA-FDA submission. We will determine the LOD, clinical performance,
and cross-reactivity with other respiratory pathogens and normal flora. The milestone for this Aim is to
document a multiplex of at least two proteins and two nucleic acid biosensors for SARS-CoV-2 that will
provide a LOD of 5-20 viruses per microliter in an oral specimen and will be clinically validated with
greater than 95% concordance with RT-PCR in 30 positive and 30 negative specimens.","The development of rapid tests can play a timely role in the management of an outbreak. The
COVID-19 pandemic has been especially devastating due to the ability of asymptomatic carriers
to transmit the virus. Thus, accurate and low-cost detection of the active infection on-site from
easily collectible oral specimens is essential for the successful management of this disease.",SBIR/STTR,R42,RADx-rad,Novel Biosensing and VOC
U54HL119145,Boston Biomedical Innovation Center,"A well-recognized gap exists in the path from biomedical discovery in academia to clinical application and 
commercialization of therapeutic, device, and diagnostic technologies in cardiovascular, pulmonary, 
hematologic, and sleep disorders. This chasm is the result of inadequate funding for support of proof-of-concept 
or validation studies essential for early stage development; insufficient access to the resources and 
expertise needed to develop new technologies; and a lack of knowledge and experience among academic 
investigators in bringing new ideas to commercial realization. Within the partnering institutions included in 
this application, the essential elements exist with which to build the infrastructure needed to support and 
sustain the uninterrupted, durable flow of inventions from discovery through development and 
commercialization. While these institutions have a clear track record of remarkably successful development 
of many biomedical technologies, most of these commercial successes have been achieved by the tenacity 
of individual inventors rather than with the help of committed institutional mechanisms. We proposed to 
address these key shortcomings by establishing the regional Boston Center for Accelerated Innovation in 
Therapeutics, Devices, and Diagnostics for Heart, Lung, Blood, and Sleep Disorders (B-BIC, or the Boston 
Biomedical Innovation Center). The key objectives of this Center are to: 1) develop an integrated 
infrastructure that would expand the universe of commercializable technologies for heart, lung, blood, and 
sleep disorders; 2) place these opportunities in the proper evaluative context through an engagement (""seed 
it""), solicitation (""find it""), and selection (""pick it"") strategy; 3) efficiently and effectively bring those selected to 
an appropriate exit point from the development process; and 4) provide the educational and mentoring 
infrastructure necessary for the development of the proper entrepreneurial skills among academic 
innovators. By achieving these goals, B-BlC would change the culture of our academic environment, as 
well as the relationship between the public and private sectors in facilitating successful development 
strategies for technologies in heart, lung, blood, and sleep disorders for the ultimate benefit of patients and society.","Translation of basic observations into clinical practice is limited by the resources needed for development, 
inadequate experience of academic investigators, and the discovery-focused academic culture. Building an 
academic infrastructure that facilitates translation by promoting development is an important goal to ensure 
the successful translation of research into benefit for patients and society.",Research Centers,U54,RADx-rad,Novel Biosensing and VOC
R42DE030832,A SARS-CoV-2 Breathalyzer for Direct Virus Detection,"A substantial and growing body of evidence has demonstrated that COVID-19 is transmitted by human-emitted
airborne particles; therefore, it is critical to rapidly screen individuals to determine whether they are at risk of
transmitting the disease to others before they enter large venues (e.g., airports, schools) and smaller ones
where extended exposure or close proximity is expected (e.g., dental offices, hair salons). Given the large
number of asymptomatic cases of the disease, the infrared thermometers and health questionnaires frequently
used to screen individuals are plainly inadequate. Existing SARS-CoV-2 detection technology is time consum-
ing and complicated to use, expensive and not portable and therefore ill-suited to use as point of care (POC)
screening tools. Tests recently approved by the FDA under the Emergency Use Authorization face some of
the same challenges.
The goal of this project is to develop and test a novel breathalyzer for detecting aerosolized SARS-CoV-2 di-
rectly from exhaled breath in near real-time by marrying a proven, cutting-edge aerosol sampling technology
with a novel and inexpensive virus detector. The innovation is directly detecting virus in the breath, while other
breathalyzers depend on indirect detection (VOCs and AI algorithms) to infer the presence of the virus.
In this Fast-track STTR project, Aersol Devices Inc (ADev) will modify its commercial bioaerosol collector,
which is used to sample from the ambient environment, to enable it to collect viruses from breath samples into
a concentrated liquid sample. The University of Minnesota (UMN) will modify its Magnetic Particle Spectrome-
ter (MPS), a version of which has previously been used to detect Influenza A H1N1 virus, so that the liquid
samples from the collector can be analyzed to detect SARS-CoV-2.
Specific aims include developing the hardware for transforming an ambient sampler into a breath sampler, de-
signing a rapid means of decontaminating the collector between tests, integrating the collector and the detector
into a robust package, functionalizing magnetic nanoparticles with SARS-CoV-2 antibodies, increasing the sig-
nal/noise ratio of the MPS electronics, reducing the assay time, improving the analytical sensitivity/specificity,
measuring the clinical sensitivity/specificity and comparing to RT-qPCR in pre-clinical testing.
The technology platform proposed is flexible and extensible and could be tailored to detect other pathogens
(e.g., rhinoviruses, respiratory syncytial virus, parainfluenza virus other coronaviruses, etc.). This flexibility is
valuable since (1) this will not be the last pandemic (new pathogens in the future) and (2) development could
pivot to a different pathogen if a vaccine or other control measures bring the current COVID-19 pandemic un-
der control before this SARS-CoV-2 breathalyzer is commercially available.","Aerosol transmission of SARS-CoV-2 is a likely contributor to the rapid spread of COVID-19. Tools
are urgently needed for rapidly and inexpensively screening out contagious individuals before they
can enter schools, hospitals, office buildings, assisted living facilities, military installations and other
large venues in order to protect vulnerable populations and mitigate the pandemic. We will develop a
breathalyzer to detect aerosolized SARS-CoV-2 directly from exhaled breath within minutes by
marrying a proven, cutting-edge aerosol sampling technology with a novel and inexpensive virus
detector based on magnetic particle spectroscopy.",SBIR/STTR,R42,RADx-rad,Novel Biosensing and VOC
U18TR003778,AFS/SERS Saliva-based SARS-CoV-2 Earliest Infection and Antibodies Detection,"This U18 application is responsive to the NIH’s RADx-rad Emergency Responses to the COVID-
pandemic for new or non-traditional technologies developed for single extracellular vesicle, exosome and
extracellular RNA (exRNA) isolation and analysis and reposition them for detection of SARS-CoV-2. The
applicant’s group is a grantee in the NIH Common Fund “Extracellular RNA Communication (ERC)” Program
advancing a new and emerging technology of Acoustofluidic Separation (AFS) for label-free, high yield and purity
exosomes from biofluids which is coupled to extracellular RNA characterization using Surface Enhanced Raman
Spectroscopy (SERS) for single EV identification. This U18 application is to reposition the AFS EV technology
and SERS for the non-invasive earliest detection of SARS-CoV-2 in saliva of infected patients. Host immunity to
SARS-CoV-2 will also be assessed in the saliva samples, permitting the earliest detection of SARS-CoV-2
infection and host immunity non-invasively in a saliva sample.
 Five Specific Aims are in place to reposition the saliva-based AFS and SERS technologies, in a 2-year
U18 proposal, to test the hypothesis that an integrated multi-parametric non-invasive saliva test for SARS-CoV-
2 infection, viral load and host immunity test demonstrating clinical performance surpassing current saliva-based
SARS-CoV-2 EUA tests.","This U18 application to develop exosome-based non-traditional technology for point-of-care sampling
and non-invasive earliest detection of SARS-CoV-2 infection and COVID-19 antibodies detection, for population
level testing for COVID-19 infection and immunity.",Other Research-Related,U18,RADx-rad,Exosome
R61HD105593,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,"This work is directed at characterizing pediatric COVID-19 and stratifying incoming patients by projected
(future) disease severity. Such stratification has several implications: immediately improving treatment planning, and
as disease mechanistic pathways are uncovered, directing treatment. Predicting future severity will inform the risks of
outpatient treatment; to the patients themselves, their family, other caregivers/cohabitants, and to schools and
employers. As varying levels of “reopening” are adopted across the country (and the world), such prognostication will
inform policy on the handling of pediatric carriers in the community. Based on our preliminary analysis we assert that
a combination of novel assays including quantitative serology inflammatory markers (cytokine/chemokine profiles,
immune profiles), transcriptomics, epigenomics, longitudinal physiological monitoring, time series analysis, imaging,
radiomics and clinical observation including social determinants of health, contains adequate information even at early
stages of infection to stratify the disease and predict disease severity. We propose an artificial intelligence/machine
learning approach to integrate this rich and heterogeneous dataset, characterize the spectrum of disease and identify
biosignatures that predict severity in progressive disease. To facilitate translation of the approaches developed in this
work to a wide user community, we incorporate a Translational Development function, to oversee the design-control
process and ensure readiness of our methods for regulatory review. Incorporated into our timelines are appropriate
regulatory milestones intended to conform with the Emergency Use Authorization (EUA) programs in effect for SARS-
CoV-2 diagnostics.","We propose an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset
on COVID-19 in children, characterize the spectrum of disease and identify biosignatures that predict severity in
progressive disease. To facilitate translation of the approaches developed in this work to a wide user community, we
incorporate a Translational Development function, to oversee the design-control process and ensure readiness of our
methods for regulatory review. Incorporated into our timelines are appropriate regulatory milestones intended to
conform with the Emergency Use Authorization (EUA) programs in effect for SARS-CoV-2 diagnostics.",Non-SBIR/STTR,R61,RADx-rad,PreVAIL kIds
U01LM013129,Bioinformatics Framework for Wastewater-based Surveillance of Infectious Diseases,"Enabling access to comprehensive biomedical information is central to the mission of the National Library of
Medicine and key to disease prevention for better health outcomes nationally and globally. In the area of
infectious disease prevention, real time and non-biased sequence data are essential for early detection of
threats to mitigate outbreaks, epidemics and pandemics. This proposed research project aims to innovate in
the creation and accessibility of metagenomic sequence data relating to infectious agents by leveraging the
potentially transformative tool of wastewater-based epidemiology (WBE). The WBE approach employs analysis
of community wastewater from large populations to enable non-invasive, near real-time monitoring of both
symptomatic and asymptomatic individuals. When combined with high-throughput metagenomic sequencing
(HTS), the resulting WBE-HTS approach is promising for detecting a broad spectrum of infectious agents
simultaneously without any a priori assumptions about virus identity or presence. This project will test the
hypothesis that the processing of aggregated metagenomic sequence data on viruses detectable in U.S.
wastewater can serve to identify vulnerabilities, outbreaks and epidemics early, thereby creating a novel and
potentially life-saving diagnostic approach for protecting public health.
 For hypothesis testing, the team will leverage Arizona State University's Human Health Observatory (HHO),
the largest sewage monitoring network and largest archive of sewage and sludge samples worldwide,
representing more than 200 U.S. cities and over 300 cities globally.
 The overall goal of this work is to develop a broadly applicable online bioinformatics framework and to
demonstrate its utility in a case study employing WBE and HTS.
 The three specific aims are to: (i) inventory viruses extant in the U.S. in a comprehensive database, using
existing database sources and WBE; (ii) generate a knowledge repository and online portal of metagenomic
data to support near real-time surveillance of the human–associated virome, and (iii) evaluate the utility of the
WBE bioinformatics framework for tracking viral outbreaks and epidemics.
 Successful completion of this project will provide the U.S. with an early warning system for pathogen
detection and outbreak tracking that can serve to prevent epidemics, thereby reducing morbidity and mortality
in the U.S. from contagious pathogens, first for viruses and potentially in the future for pathogenic bacteria and
other biohazards.","This biomedical informatics project will leverage high-throughput sequencing (HTS) data from U.S. wastewater
process flows collected over the past two decades to create an innovative early warning system for virus
surveillance and public health protection. It will furnish significantly expanded virome databases and an online
tool enabling public health practitioners and researchers to rapidly detect characteristic sequences of
pathogenic human viruses in DNA and RNA sequence data from environmental and clinical specimens.",Non-SBIR/STTR,U01,RADx-rad,Wastewater
U01HL152401,Washington Entrepreneurial Research Evaluation and Commercialization Hub,"The University of Washington and the entrepreneurial community seeks to partner with the National Institutes
of Health to become a Research Evaluation and Commercialization Hub (REACH) to accelerate academic
biomedical discoveries into products helping ease the highest U.S. burden of disease and disability.
The UW is a powerhouse in health sciences, technology, and innovation in a city known for seeking solutions
to the most pressing health problems around the world.
The University’s long-standing relationship with the entrepreneurial business community has helped in the
formation of Boeing, Microsoft, Amazon, Immunex, Zymogenetics, Teblos, the Drug Interaction Database, and
Seattle Genetics. It’s also led to well-recognized recombinant therapeutic and vaccine products such as growth
hormone, insulin, RecombiVax HB®, and Gardasil®.
Many of our graduates work at major health organizations in the city, including The Gates Foundation, Path,
Fred Hutchinson Cancer Research Center, the Infectious Disease Research Institute. The University’s Foster
School of Business gathers business leaders to judge and mentor solutions to health problems, and major
business leaders are part of the governing board of these organizations and the networking hub The
Washington Global Health Alliance and The Innovation Hub of Life Sciences Washington.
In this rich spirt of collaboration, a hub to accelerate promising biomedical discoveries would fit right in. A hub
is needed to further energize the spirit of discovery and collaboration and overcome barriers in getting products
to the public. A hub will leverage existing resources for translational research and support the journey to
fruition to innovative products that change lives. With institutional co-funding commitments, strong support of
community leaders, and proven leadership in entrepreneurial startups, the four Aims of this proposal are to (1)
Develop an integrated infrastructure and implementation system; (2) Identify the most promising technologies,
and increase their availability using milestone-driven gap funding and mentoring (in business, marketing, and
networking) for market-driven proof-of-product concept and product definition; (3) Fuel the formation of new
biotechnology, pharmaceutical, and medical device companies, and assist in pathways to a self-sustaining
structure; (4) Train the next generation of biomedical entrepreneurs to lead these ventures.
With NIH support, this hub will accelerate the creation of small businesses using biomedical discoveries to
launch products that impact health outcomes. An investment in the Pacific Northwest will amplify the returns
on this funding due to the critical mass of investigators, and the will of our institutions to make this happen.","This proposal plans to create a hub to accelerate academic biomedical discoveries into products
helping ease the highest burden of disease and disability in the United States.
The University of Washington and the region is a powerhouse in health sciences, technology,
and collaboration but many promising ideas never get to market because of barriers in funding,
connections to industry professionals or product development know-how. The Washington
Entrepreneurial Research Evaluation and Commercialization Hub (WE-REACH) program will
build on strengths and integration of the entrepreneurial and translational environment in the
region to identify and accelerate promising products, foster milestone-driven project plans and
translational teams, and then work with experts to overcome the barriers to create marketable
health products.",Non-SBIR/STTR,U01,RADx-rad,Novel Biosensing and VOC
U18TR003812,COVID-19 detection through scent analysis with a compact GC device,"Recent studies, including ours, have suggested that breath may allow us to diagnose COVID-19 infection
and even monitor its progress. As compared to immunological and genetic based methods using sample media
like blood, nasopharyngeal swab, and saliva, breath analysis is non-invasive, simple, safe, and inexpensive; it
allows a nearly infinite amount of sample volume and can be used at the point-of-care for rapid detection.
Fundamentally, breath also provides critical metabolomics information regarding how human body responds to
virus infection and medical intervention (such as drug treatment and mechanical ventilation). The objectives of
the proposed SCENT project are: (1) to refine automated, portable, high-performance micro-gas
chromatography (GC) device and related data analysis / biomarker identification algorithms for rapid (5-6
minutes), in-situ, and sensitive (down to ppt) breath analysis and (2) to conduct breath analysis on up to 760
patients, and identify and validate the COVID-19 biomarkers in breath. Thus, in coordination with the RADx-rad
Data Coordination Center (DCC), we will complete the following specific aims.
(1) Refine 5 automated micro-GC devices to achieve higher speed and better separation capability. We
will construct 5 new automated and portable one-dimensional micro-GC devices that require only ~6 minutes of
assay time (improved from current 20 minutes) at the ppt level sensitivity (Sub-Aim 1a). Then the devices will be
upgraded to 2-dimensional micro-GC to significantly increase the separation capability (Sub-Aim 1b). In the
meantime, we will optimize and automate our existing data processing and biomarker identification algorithms
and codes to streamline the workflow so that the GC device can automatically process and analyze the data
without human intervention (Sub-Aim 1c).
(2) Identify breath biomarkers that distinguish COVID-19 positive (symptomatic and asymptomatic) and
negative patients. We will recruit a training cohort of 380 participants, including 190 COVID-19 positive patients
(95 symptomatic and 95 asymptomatic) and 190 COVID-19 negative patients from two hospitals (Michigan
Medicine – Ann Arbor and the Henry Ford Hospital – Detroit). We will conduct breath analysis using machine
learning to identify VOC patterns that match each COVID-19 diagnostic status.
(3) Validate the COVID-19 biomarkers using our refined micro-GC devices. Using the refined 2-D micro-GC
devices from Sub-Aim 1b, we will recruit a new validation cohort of 380 participants (190 COVID-19 positive
patients and 190 COVID-19 negative patients) to validate the biomarkers identified in Aim 2.
 We will leverage existing engineering, data science, clinical, regulatory, and commercialization resources
throughout the project to hit our milestones, ensuring a high likelihood of rapid patient impact. Upon completion
of this work, we will have a portable micro-GC device and accompanying automated algorithms that can detect
and monitor COVID-19 status for people in a variety of clinical and community settings.","Our team of engineers, clinicians, and data scientists has developed a portable, high
performance breath analyzer that can be used to detect certain diseases. In this project, we will
adapt and refine our existing device and algorithms so they can be used for rapid, safe, and non-
invasive COVID-19 detection. People will simply breath into the device and it will quickly provide
results, meaning that it can be used in a variety of everyday settings to help fight against the
COVID-19 pandemic.",Other Research-Related,U18,RADx-rad,SCENT
