id,name,abstract,journal,year,type,doi,pmId,pmcId,url
doi:10.1039/d3sc00439b,Aptamers 101: aptamer discovery and in vitro applications in biosensors and separations.,"Aptamers are single-stranded nucleic acids that bind and recognize targets much like antibodies. Recently, aptamers have garnered increased interest due to their unique properties, including inexpensive production, simple chemical modification, and long-term stability. At the same time, aptamers possess similar binding affinity and specificity as their protein counterpart. In this review, we discuss the aptamer discovery process as well as aptamer applications to biosensors and separations. In the discovery section, we describe the major steps of the library selection process for aptamers, called systematic evolution of ligands by exponential enrichment (SELEX). We highlight common approaches and emerging strategies in SELEX, from starting library selection to aptamer-target binding characterization. In the applications section, we first evaluate recently developed aptamer biosensors for SARS-CoV-2 virus detection, including electrochemical aptamer-based sensors and lateral flow assays. Then we discuss aptamer-based separations for partitioning different molecules or cell types, especially for purifying T cell subsets for therapeutic applications. Overall, aptamers are promising biomolecular tools and the aptamer field is primed for expansion in biosensing and cell separation.",Chemical science,2023,primary,doi:10.1039/d3sc00439b,37206388,PMC10189874,https://doi.org/doi:10.1039/d3sc00439b
doi:10.1021/acs.analchem.2c01993,SCORe: SARS-CoV-2 Omicron Variant RBD-Binding DNA Aptamer for Multiplexed Rapid Detection and Pseudovirus Neutralization.,"During the COVID-19 (coronavirus disease 2019) pandemic, several SARS-CoV-2 variants of concern emerged, including the Omicron variant, which has enhanced infectivity and immune invasion. Many antibodies and aptamers that bind the spike (S) of previous strains of SARS-CoV-2 either do not bind or bind with low affinity to Omicron S. In this study, we report a high-affinity SARS-CoV-2 Omicron RBD-binding aptamer (SCORe) that binds Omicron BA.1 and BA.2 RBD with nanomolar KD1. We employ aptamers SCORe.50 and SNAP4.74 in a multiplexed lateral flow assay (LFA) to distinguish between Omicron and wild-type S at concentrations as low as 100 pM. Finally, we show that SCORe.50 and its dimerized form SCOReD can neutralize Omicron S-pseudotyped virus infection of ACE2-overexpressing cells by >70%. SCORe therefore has potential applications in COVID-19 rapid diagnostics as well as in viral neutralization.",Analytical chemistry,2022,primary,doi:10.1021/acs.analchem.2c01993,35972202,PMC9397568,https://doi.org/doi:10.1021/acs.analchem.2c01993
doi:10.1021/acs.analchem.2c00554,Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,"The COVID-19 pandemic is among the greatest health and socioeconomic crises in recent history. Although COVID-19 vaccines are being distributed, there remains a need for rapid testing to limit viral spread from infected individuals. We previously identified the SARS-CoV-2 spike protein N-terminal domain (NTD) binding DNA aptamer 1 (SNAP1) for detection of SARS-CoV-2 virus by aptamer-antibody sandwich enzyme-linked immunoassay (ELISA) and lateral flow assay (LFA). In this work, we identify a new aptamer that also binds at the NTD, named SARS-CoV-2 spike protein NTD-binding DNA aptamer 4 (SNAP4). SNAP4 binds with high affinity (<30 nM) for the SARS-CoV-2 spike protein, a 2-fold improvement over SNAP1. Furthermore, we utilized both SNAP1 and SNAP4 in an aptamer sandwich LFA (AptaFlow), which detected SARS-CoV-2 UV-inactivated virus at concentrations as low as 106 copies/mL. AptaFlow costs <$1 per test to produce, provides results in <1 h, and detects SARS-CoV-2 at concentrations that indicate higher viral loads and a high probability of contagious transmission. AptaFlow is a potential approach for a low-cost, convenient antigen test to aid the control of the COVID-19 pandemic.",Analytical chemistry,2022,primary,doi:10.1021/acs.analchem.2c00554,35532905,PMC9112978,https://doi.org/doi:10.1021/acs.analchem.2c00554
doi:10.1002/smll.202300040,Self-Assembly of DNA Nanostructures in Different Cations.,"The programmable nature of DNA allows the construction of custom-designed static and dynamic nanostructures, and assembly conditions typically require high concentrations of magnesium ions that restricts their applications. In other solution conditions tested for DNA nanostructure assembly, only a limited set of divalent and monovalent ions are used so far (typically Mg2+ and Na+ ). Here, we investigate the assembly of DNA nanostructures in a wide variety of ions using nanostructures of different sizes: a double-crossover motif (76 bp), a three-point-star motif (~134 bp), a DNA tetrahedron (534 bp) and a DNA origami triangle (7221 bp). We show successful assembly of a majority of these structures in Ca2+ , Ba2+ , Na+ , K+ and Li+ and provide quantified assembly yields using gel electrophoresis and visual confirmation of a DNA origami triangle using atomic force microscopy. We further show that structures assembled in monovalent ions (Na+ , K+ and Li+ ) exhibit up to a 10-fold higher nuclease resistance compared to those assembled in divalent ions (Mg2+ , Ca2+ and Ba2+ ). Our work presents new assembly conditions for a wide range of DNA nanostructures with enhanced biostability.","Small (Weinheim an der Bergstrasse, Germany)",2023,primary,doi:10.1002/smll.202300040,37264756,PMC10538431,https://doi.org/doi:10.1002/smll.202300040
doi:10.1101/2023.05.04.539416,Self-assembly of DNA nanostructures in different cations.,"The programmable nature of DNA allows the construction of custom-designed static and dynamic nanostructures, and assembly conditions typically require high concentrations of magnesium ions which restricts their applications. In other solution conditions tested for DNA nanostructure assembly, only a limited set of divalent and monovalent ions have been used so far (typically Mg 2+ and Na + ). Here, we investigate the assembly of DNA nanostructures in a wide variety of ions using nanostructures of different sizes: a double-crossover motif (76 bp), a three-point-star motif (∼134 bp), a DNA tetrahedron (534 bp) and a DNA origami triangle (7221 bp). We show successful assembly of a majority of these structures in Ca 2+ , Ba 2+ , Na + , K + and Li + and provide quantified assembly yields using gel electrophoresis and visual confirmation of a DNA origami triangle using atomic force microscopy. We further show that structures assembled in monovalent ions (Na + , K + and Li + ) exhibit up to a 10-fold higher nuclease resistance compared to those assembled in divalent ions (Mg 2+ , Ca 2+ and Ba 2+ ). Our work presents new assembly conditions for a wide range of DNA nanostructures with enhanced biostability.",bioRxiv : the preprint server for biology,2023,primary,doi:10.1101/2023.05.04.539416,37205441,PMC10187274,https://doi.org/doi:10.1101/2023.05.04.539416
doi:10.1016/j.bios.2023.115228,Rapid detection of intact SARS-CoV-2 using designer DNA Nets and a pocket-size smartphone-linked fluorimeter.,"Rapid, sensitive, and inexpensive point-of-care diagnosis is vital to controlling highly infectious diseases, including COVID-19. Here, we report the design and characterization of a compact fluorimeter called a ""Virus Pod"" (V-Pod) that enables sensitive self-testing of SARS-CoV-2 viral load in saliva. The rechargeable battery-operated device reads the fluorescence generated by Designer DNA Nanostructures (DDN) when they specifically interact with intact SARS-CoV-2 virions. DDNs are net-shaped self-assembling nucleic acid constructs that provide an array of highly specific aptamer-fluorescent quencher duplexes located at precise positions that match the pattern of spike proteins. The room-temperature assay is performed by mixing the test sample with DNA Net sensor in a conventional PCR tube and placing the tube into the V-Pod. Fluorescent signals are generated when multivalent aptamer-spike binding releases fluorescent quenchers, resulting in rapid (5-min) generation of dose-dependent output. The V-Pod instrument performs laser excitation, fluorescence intensity quantitation, and secure transmission of data to an App via Bluetooth™. We show that the V-Pod and DNA Net assay achieves clinically relevant detection limits of 3.92 × 103 viral-genome-copies/mL for pseudo-typed wild-type SARS-CoV-2 and 1.84 × 104, 9.69 × 104, 6.99 × 104 viral-genome-copies/mL for pathogenic Delta, Omicron, and D614G variants, representing sensitivity similar to laboratory-based PCR. The pocket-sized instrument (∼$294), inexpensive reagent-cost/test ($1.26), single-step, rapid sample-to-answer, and quantitative output represent a capability that is compatible with the needs of frequent self-testing in a consumer-friendly format that can link with medical service systems such as healthcare providers, contact tracing, and infectious disease reporting.",Biosensors & bioelectronics,2023,primary,doi:10.1016/j.bios.2023.115228,36963325,PMC10019040,https://doi.org/doi:10.1016/j.bios.2023.115228
doi:10.1016/j.bios.2023.115197,A photonic resonator interferometric scattering microscope for label-free detection of nanometer-scale objects with digital precision in point-of-use environments.,"Label-free detection and digital counting of nanometer-scaled objects such as nanoparticles, viruses, extracellular vesicles, and protein molecules enable a wide range of applications in cancer diagnostics, pathogen detection, and life science research. Here, we report the design, implementation, and characterization of a compact Photonic Resonator Interferometric Scattering Microscope (PRISM) designed for point-of-use environments and applications. The contrast of interferometric scattering microscopy is amplified through a photonic crystal surface, upon which scattered light from an object combines with illumination from a monochromatic source. The use of a photonic crystal substrate for interferemetric scattering microscopy results in reduced requirements for high-intensity lasers or oil-immersion objectives, thus opening a pathway toward instruments that are more suitable for environments outside the optics laboratory. The instrument incorporates two innovative elements that facilitate operation on a desktop in ordinary laboratory environments by users that do not have optics expertise. First, because scattering microscopes are extremely sensitive to vibration, we incorporated an inexpensive but effective solution of suspending the instrument's main components from a rigid metal framework using elastic bands, resulting in an average of 28.7 dBV reduction in vibration amplitude compared to an office desk. Second, an automated focusing module based on the principle of total internal reflection maintains the stability of image contrast over time and spatial position. In this work, we characterize the system's performance by measuring the contrast from gold nanoparticles with diameters in the 10-40 nm range and by observing various biological analytes, including HIV virus, SARS-CoV-2 virus, exosome, and ferritin protein.",Biosensors & bioelectronics,2023,primary,doi:10.1016/j.bios.2023.115197,36905862,PMC10072782,https://doi.org/doi:10.1016/j.bios.2023.115197
doi:10.3390/bios13020298,Review of HIV Self Testing Technologies and Promising Approaches for the Next Generation.,"The ability to self-test for HIV is vital to preventing transmission, particularly when used in concert with HIV biomedical prevention modalities, such as pre-exposure prophylaxis (PrEP). In this paper, we review recent developments in HIV self-testing and self-sampling methods, and the potential future impact of novel materials and methods that emerged through efforts to develop more effective point-of-care (POC) SARS-CoV-2 diagnostics. We address the gaps in existing HIV self-testing technologies, where improvements in test sensitivity, sample-to-answer time, simplicity, and cost are needed to enhance diagnostic accuracy and widespread accessibility. We discuss potential paths toward the next generation of HIV self-testing through sample collection materials, biosensing assay techniques, and miniaturized instrumentation. We discuss the implications for other applications, such as self-monitoring of HIV viral load and other infectious diseases.",Biosensors,2023,primary,doi:10.3390/bios13020298,36832064,PMC9954708,https://doi.org/doi:10.3390/bios13020298
doi:10.1021/acsinfecdis.1c00546,Aptamers for Viral Detection and Inhibition.,"Recent times have experienced more than ever the impact of viral infections in humans. Viral infections are known to cause diseases not only in humans but also in plants and animals. Here, we have compiled the literature review of aptamers selected and used for detection and inhibition of viral infections in all three categories: humans, animals, and plants. This review gives an in-depth introduction to aptamers, different types of aptamer selection (SELEX) methodologies, the benefits of using aptamers over commonly used antibody-based strategies, and the structural and functional mechanism of aptasensors for viral detection and therapy. The review is organized based on the different characterization and read-out tools used to detect virus-aptasensor interactions with a detailed index of existing virus-targeting aptamers. Along with addressing recent developments, we also discuss a way forward with aptamers for DNA nanotechnology-based detection and treatment of viral diseases. Overall, this review will serve as a comprehensive resource for aptamer-based strategies in viral diagnostics and treatment.",ACS infectious diseases,2022,primary,doi:10.1021/acsinfecdis.1c00546,35220716,PMC8905934,https://doi.org/doi:10.1021/acsinfecdis.1c00546
doi:10.1038/s41596-021-00641-y,Designer DNA nanostructures for viral inhibition.,"Emerging viral diseases can substantially threaten national and global public health. Central to our ability to successfully tackle these diseases is the need to quickly detect the causative virus and neutralize it efficiently. Here we present the rational design of DNA nanostructures to inhibit dengue virus infection. The designer DNA nanostructure (DDN) can bind to complementary epitopes on antigens dispersed across the surface of a viral particle. Since these antigens are arranged in a defined geometric pattern that is unique to each virus, the structure of the DDN is designed to mirror the spatial arrangement of antigens on the viral particle, providing very high viral binding avidity. We describe how available structural data can be used to identify unique spatial patterns of antigens on the surface of a viral particle. We then present a procedure for synthesizing DDNs using a combination of in silico design principles, self-assembly, and characterization using gel electrophoresis, atomic force microscopy and surface plasmon resonance spectroscopy. Finally, we evaluate the efficacy of a DDN in inhibiting dengue virus infection via plaque-forming assays. We expect this protocol to take 2-3 d to complete virus antigen pattern identification from existing cryogenic electron microscopy data, ~2 weeks for DDN design, synthesis, and virus binding characterization, and ~2 weeks for DDN cytotoxicity and antiviral efficacy assays.",Nature protocols,2022,primary,doi:10.1038/s41596-021-00641-y,35013618,PMC8852688,https://doi.org/doi:10.1038/s41596-021-00641-y
doi:10.1016/j.cossms.2021.100966,"Overcoming the limitations of COVID-19 diagnostics with nanostructures, nucleic acid engineering, and additive manufacturing.","The COVID-19 pandemic revealed fundamental limitations in the current model for infectious disease diagnosis and serology, based upon complex assay workflows, laboratory-based instrumentation, and expensive materials for managing samples and reagents. The lengthy time delays required to obtain test results, the high cost of gold-standard PCR tests, and poor sensitivity of rapid point-of-care tests contributed directly to society's inability to efficiently identify COVID-19-positive individuals for quarantine, which in turn continues to impact return to normal activities throughout the economy. Over the past year, enormous resources have been invested to develop more effective rapid tests and laboratory tests with greater throughput, yet the vast majority of engineering and chemistry approaches are merely incremental improvements to existing methods for nucleic acid amplification, lateral flow test strips, and enzymatic amplification assays for protein-based biomarkers. Meanwhile, widespread commercial availability of new test kits continues to be hampered by the cost and time required to develop single-use disposable microfluidic plastic cartridges manufactured by injection molding. Through development of novel technologies for sensitive, selective, rapid, and robust viral detection and more efficient approaches for scalable manufacturing of microfluidic devices, we can be much better prepared for future management of infectious pathogen outbreaks. Here, we describe how photonic metamaterials, graphene nanomaterials, designer DNA nanostructures, and polymers amenable to scalable additive manufacturing are being applied towards overcoming the fundamental limitations of currently dominant COVID-19 diagnostic approaches. In this paper, we review how several distinct classes of nanomaterials and nanochemistry enable simple assay workflows, high sensitivity, inexpensive instrumentation, point-of-care sample-to-answer virus diagnosis, and rapidly scaled manufacturing.",Current opinion in solid state & materials science,2022,primary,doi:10.1016/j.cossms.2021.100966,34840515,PMC8604633,https://doi.org/doi:10.1016/j.cossms.2021.100966
doi:10.1038/s41563-021-01088-y,Nanocages for virus inhibition.,,Nature materials,2021,primary,doi:10.1038/s41563-021-01088-y,34433933,,https://doi.org/doi:10.1038/s41563-021-01088-y
doi:10.1101/2023.06.05.23290966,"More spice, less salt: how capsaicin affects liking for and perceived saltiness of foods in people with smell loss.","People who lose their sense of smell self-report consuming more salt to compensate for a lack of flavor and enhance eating enjoyment. However, this can contribute to excess sodium intake and a poor diet. Capsaicin may help increase salt taste intensity and eating enjoyment in this population, but this has not been studied. The purpose of this study was to determine 1) whether salt intake in those with smell loss differs from population averages, 2) whether capsaicin increases flavor and salt taste intensity, and 3) if adding spice to foods increases food liking in individuals with smell loss. Participants 18-65 years old with confirmed partial or total smell loss for at least 12 weeks completed two sets of replicate test sessions (four total). In two sessions participants rated overall flavor intensity, taste qualities' intensities, spicy intensity, and liking for model tomato soups with low or regular sodium content and three levels of capsaicin (none, low, or moderate). In the other two sessions, participants rated the same sensory attributes for model food samples with three levels of added spice (none, low, or moderate). 24-hour urine samples were also collected to determine sodium intake. Results indicate that although sodium intake is higher than recommended in those with smell loss (2893 ± 258 mg/day), they do not consume more sodium than population averages. Adding low and moderate amounts of capsaicin to a model tomato soup increased the intensity of overall flavor and saltiness compared to a model tomato soup without capsaicin. However, the effect of capsaicin on liking differed by food type. In conclusion, the addition of capsaicin can improve flavor, salt taste intensity, and eating enjoyment in people with smell loss.",medRxiv : the preprint server for health sciences,2023,primary,doi:10.1101/2023.06.05.23290966,37333099,PMC10275002,https://doi.org/doi:10.1101/2023.06.05.23290966
doi:10.1093/chemse/bjad002,Proof-of-concept: SCENTinel 1.1 rapidly discriminates COVID-19-related olfactory disorders.,"It is estimated that 20%-67% of those with COVID-19 develop olfactory disorders, depending on the SARS-CoV-2 variant. However, there is an absence of quick, population-wide olfactory tests to screen for olfactory disorders. The purpose of this study was to provide a proof-of-concept that SCENTinel 1.1, a rapid, inexpensive, population-wide olfactory test, can discriminate between anosmia (total smell loss), hyposmia (reduced sense of smell), parosmia (distorted odor perception), and phantosmia (odor sensation without a source). Participants were mailed a SCENTinel 1.1 test, which measures odor detection, intensity, identification, and pleasantness, using one of 4 possible odors. Those who completed the test (N = 287) were divided into groups based on their self-reported olfactory function: quantitative olfactory disorder only (anosmia or hyposmia, N = 135), qualitative olfactory disorder only (parosmia and/or phantosmia; N = 86), and normosmia (normal sense of smell; N = 66). SCENTinel 1.1 accurately discriminates quantitative olfactory disorders, qualitative olfactory disorders, and normosmia groups. When olfactory disorders were assessed individually, SCENTinel 1.1 discriminates between hyposmia, parosmia, and anosmia. Participants with parosmia rated common odors less pleasant than those without parosmia. We provide proof-of-concept that SCENTinel 1.1, a rapid smell test, can discriminate quantitative and qualitative olfactory disorders, and is the only direct test to rapidly discriminate parosmia.",Chemical senses,2023,primary,doi:10.1093/chemse/bjad002,36796784,PMC9935080,https://doi.org/doi:10.1093/chemse/bjad002
