Requestor,Affiliation,Project,Date of approval,Request status,Public Research Use Statement,Technical Research Use Statement,accession,name
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002699.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SCENTinel: A    Rapid Smell Test for COVID-19 Surveillance
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002699.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): SCENTinel: A    Rapid Smell Test for COVID-19 Surveillance
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002689.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid Saliva    Antigen Test for SARs-CoV-2 Detection
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002689.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid Saliva    Antigen Test for SARs-CoV-2 Detection
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002685.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): DNA Star    SAS-CoV-2 Rapid Test
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002685.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): DNA Star    SAS-CoV-2 Rapid Test
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002679.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Detection of COVID-19
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002679.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Detection of COVID-19
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002657.v1.p1,"Rapid Acceleration of Diagnostics - Radical (RADx-rad): Early Detection,    Containment, and Management of COVID-19 in Dialysis Facilities Using    Multi-Modal Data Sources"
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002657.v1.p1,"Rapid Acceleration of Diagnostics - Radical (RADx-rad): Early Detection,    Containment, and Management of COVID-19 in Dialysis Facilities Using    Multi-Modal Data Sources"
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002642.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A    Confectionary-Based Screening Tool for Assessing Chemosensory Loss in    COVID-19 Patients
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002642.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A    Confectionary-Based Screening Tool for Assessing Chemosensory Loss in    COVID-19 Patients
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002631.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rapid Olfactory    Tools for Telemedicine-Friendly COVID-19 Screening and Survey
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002631.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rapid Olfactory    Tools for Telemedicine-Friendly COVID-19 Screening and Survey
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002609.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Identifying    Biomarker Signatures of Prognostic Value for Multisystem Inflammatory    Syndrome in Children (MIS-C)
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002609.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Identifying    Biomarker Signatures of Prognostic Value for Multisystem Inflammatory    Syndrome in Children (MIS-C)
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002604.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Tracking the    COVID-19 Epidemic in Sewage (TRACES)
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002604.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Tracking the    COVID-19 Epidemic in Sewage (TRACES)
"Hong, Na ",YALE UNIVERSITY,Analysis and Evaluation of RADx-rad Datasets,"Aug23, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench.  Another aim of the project will be developing and applying tools to enable collaborative learning of heterogeneous data across multiple data collection sites. We will explore a combination of federated learning and secure computation strategies to train novel machine learning models that can effectively extract insights from distributed datasets in an interpretable manner.",phs002603.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of    MIS-C in Febrile Children
"Rose, Peter ","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Analysis and Evaluation of RADx-rad Datasets,"Mar07, 2023",approved,"The National Institutes of Health launched the RADx? Radical program to support innovative, non-traditional diagnostic approaches to address gaps in COVID-19 testing and surveillance. This request is to support the evaluation of RADx-rad program outcomes by the RADx-rad Discoveries and Research Center (DCC).","This request supports the RADx-rad program outcomes evaluation by the RADx-rad Discoveries and Research Center (DCC). DCC facilitates âdata standardization, harmonization, integration, and analysis across RADx-rad projects and coordinates quality control, data curation, and analyses, and provides tools to monitor progress, performance, and use of the curated dataâ (RFA-OD-20-019). To fulfill these requirements, we will perform the following evaluations: 1. Measure the extent of shared data elements across (i) projects within the same or related FOA areas, (ii), projects across all RADx-rad. 2. Evaluate the quality and consistency of data submissions. 3. Compare the performance of diagnostic methods for analytical and clinical performance. 4. Correlate analytical with clinical performance. 5. Develop data analysis templates and use cases to demonstrate data integration across RADx-rad projects. 6. Evaluate the ease of use and capabilities of the NIH Data Hub to (i) access datasets, (ii) data dictionaries, (iii) develop and run data analyses (for # 1. â 5.) in the Data Hub workbench. ",phs002603.v1.p1,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of    MIS-C in Febrile Children
