PROJECT TITLE,ORGANIZATION,GROUP,PHS,dbgap_accession,FOA,foa,PROJECT NUM,project_num,core_project_num,project_serial_num
"Effective, Reagent-free Detection of the Odor Signature of Covid-19 Infection Using a Nano-Enabled Sensor Array",PENN,SCE,phs2588.v1.p1,phs002588.v1.p1,RFA-OD-20-017,RFA-OD-20-017,1-U18TR003775-01,1U18TR003775-01,U18TR003775-01,TR003775
Exosome-based Non-traditional Technologies Towards Multi-Parametric and Integrated Approaches for SARS-CoV-2,JHU,EX,phs3124.v1,phs003124.v1.p1,RFA - OD - 20 - 018,RFA-OD-20-018,1-U18TR003780-01,1U18TR003780-01,U18TR003780-01,TR003780
Hyperplexed sample barcoded screening for SARS-CoV-2 by Next Generation Sequencing,NIH,NIH/NB,phs002782.v1,phs002782.v1.p1, ,,Z01-ES100475,1ZIAES103366-01,ZIAES103366-01,ES103366
Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),CC,PK,phs2609.v1,phs002609.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105613-01,1R61HD105613-01,R61HD105613-01,HD105613
"Improved Scalability, Sensitivity, and Interpretability of Pathogen Detection, Including SARS-CoV-2, in Wastewater using High-Throughput, Highly Multiplexed Digital Array PCR Technology",UNC,WW,phs002729.v1,phs002729.v1.p1,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053899-01,1U01DA053899-01,U01DA053899-01,DA053899
Longitudinal at Home Smell Testing to Detect Infection by SARS-CoV-2,MASGEN,CST,phs002964.v1,phs002964.v1.p1,RFA-OD-20-022,RFA-OD-20-022,1-U01DC019579-01,1U01DC019579-01,U01DC019579-01,DC019579
Marshallese: Alternate Surveillance for COVID-19 in a Unique Population,WA SU,MM,phs2551.v1,phs002551.v1.p1,RFA - OD -20 -016,RFA-OD-20-016,1-R01MD016526-01,1R01MD016526-01,R01MD016526-01,MD016526
Microfluidic Isolation and Characterization of SARS-CoV-2 and Virus Related Exosomes,MASGEN,EX,Exempt,phs002778.v1.p1,RFA - OD - 20 - 018,RFA-OD-20-018,1-U18TR003793-01,1U18TR003793-01,U18TR003793-01,TR003793
Minimal False-alarm Touch-based Detection of SARS-Cov-2 Virus Particles using Poly-aptamers,GE,ADT,phs2543.v1,phs002543.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029324-01,1U01AA029324-01,U01AA029324-01,AA029324
MOF-SCENT: Metal-organic Frameworks for Screening COVID-19 by Electronic-Nose Technology to Improve Selectivity and Time Response,MISSOU,NB,phs002522.v1,phs002522.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-U01HL152410-01,1U01HL152410-01,U01HL152410-01,HL152410
Multi-modal Wireless COVID Monitoring & Infection Alerts for Concentrated Populations,STAN,MM,phs002523.v1,phs002523.v1.p1,RFA - OD -20 -016,RFA-OD-20-016,1-R01NR020105-01,1R01NR020105-01,R01NR020105-01,NR020105
Multi-parametric Integrated Molecular Detection of SARS-CoV-2 from Biofluids by Adapting Single Extracellular Vesicle Characterization Technologies,OhSU,EX,phs002709.v1,phs002709.v1.p1,RFA - OD - 20 - 018,RFA-OD-20-018,1-U18TR003807-01,1U18TR003807-01,U18TR003807-01,TR003807
Nanobody-based Electrochemical Biosensor for Real-Time Detection of Aerosolized SARS-CoV-2,WASH U,ADT,phs002700.v1,phs002700.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029331-01,1U01AA029331-01,U01AA029331-01,AA029331
Optimizing SARS-CoV-2 Wastewater Based Surveillance in Urban and University Campus Settings,COLUM,WW,phs2604.v1,phs002604.v1.p1,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053949-01,1U01DA053949-01,U01DA053949-01,DA053949
Portable GC Detector for Breath-based COVID Diagnostics,UCD,SCE,phs2600.v1 ,phs002600.v1.p1,RFA-OD-20-017,RFA-OD-20-017,1-U18TR003795-01,1U18TR003795-01,U18TR003795-01,TR003795
"RADx-rad: A Rapid, Sensitive, Point-of-care, Antigen-based Diagnostics for SARS-CoV-2",HARV,NB,PHs2561.v1,phs002561.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",4-U54HL119145-08,4U54HL119145-08,U54HL119145-08,HL119145
Rapid Olfactory Tools for Telemedicine-friendly COVID-19 Screening and Surveillance,UF,CST,phs2631.v1,phs002631.v1.p1,RFA-OD-20-022,RFA-OD-20-022,1-U01DC019573-01,1U01DC019573-01,U01DC019573-01,DC019573
Rolosense: An Innovative Platform for Automatic Mobile Phone Readout of Active SARS-CoV-2 Particles,EMORY,ADT,phs002744.v1,phs002744.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029345-01,1U01AA029345-01,U01AA029345-01,AA029345
SCENTinel: A Rapid Smell Test for COVID-19 Surveillance,Monell,CST,phs002699,phs002699.v1.p1,RFA-OD-20-022,RFA-OD-20-022,1-U01DC019578-01,1U01DC019578-01,U01DC019578-01,DC019578
Severity Predictors Integrating Salivary Transcriptomics and Proteomics with Multi Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS MISC),CMU,PK,phs2549.v1,phs002549.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105610-01,1R61HD105610-01,R61HD105610-01,HD105610
"Touchscreen-compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",UWASH,ADT,phs2565.v1,phs002565.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029316-01,1U01AA029316-01,U01AA029316-01,AA029316
Validation of Smart Masks for Surveillance of COVID-19,UC SD,MM,phs002524.v1,phs002524.v1.p1,RFA - OD -20 -016,RFA-OD-20-016,1-R01DE031114-01,1R01DE031114-01,R01DE031114-01,DE031114
Virus Counter: Rapid and Sensitive Diagnostics Based on Digital Detection of Individual Pathogens,BOSU,NB,phs2602.v1,phs002602.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",4-U54HL119145-08,4U54HL119145-08,U54HL119145-08,HL119145
Wastewater Analysis of SARS CoV-2 in Tribal Communities,ASU,WW,,,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053976-01,1U01DA053976-01,U01DA053976-01,DA053976
Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,UK,WW,phs2542.v1,phs002542.v1.p1,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053903-01,1U01DA053903-01,U01DA053903-01,DA053903
Wastewater Detection of COVID-19,MS,WW,phs002679.v1,phs002679.v1.p1,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053893-01,1U01DA053893-01,U01DA053893-01,DA053893
